SNR,Model,Config,Modulation,Channel,BER
0.0,densenet,2x1,BPSK,nonideal,0.50175
0.0,densenet,2x1,QPSK,nonideal,0.499753125
0.0,densenet,2x2,BPSK,nonideal,0.49979375
0.0,densenet,2x2,QPSK,nonideal,0.500915625
0.0,densenet,3x1,BPSK,nonideal,0.500509375
0.0,densenet,3x1,QPSK,nonideal,0.50033125
0.0,densenet,4x1,BPSK,nonideal,0.500109375
0.0,densenet,4x1,QPSK,nonideal,0.49805
0.0,densenet,4x2,BPSK,nonideal,0.4996125
0.0,densenet,4x2,QPSK,nonideal,0.50028125
0.0,densenet,4x4,BPSK,nonideal,0.500796875
0.0,densenet,4x4,QPSK,nonideal,0.500690625
0.0,mobilenetv2,2x1,BPSK,nonideal,0.49930625
0.0,mobilenetv2,2x1,QPSK,nonideal,0.50273125
0.0,mobilenetv2,2x2,BPSK,nonideal,0.5014125
0.0,mobilenetv2,2x2,QPSK,nonideal,0.500134375
0.0,mobilenetv2,3x1,BPSK,nonideal,0.50051875
0.0,mobilenetv2,3x1,QPSK,nonideal,0.500640625
0.0,mobilenetv2,4x1,BPSK,nonideal,0.499940625
0.0,mobilenetv2,4x1,QPSK,nonideal,0.500340625
0.0,mobilenetv2,4x2,BPSK,nonideal,0.498671875
0.0,mobilenetv2,4x2,QPSK,nonideal,0.501103125
0.0,mobilenetv2,4x4,BPSK,nonideal,0.49998125
0.0,mobilenetv2,4x4,QPSK,nonideal,0.50105625
0.0,resnet50,2x1,BPSK,nonideal,0.500703125
0.0,resnet50,2x1,QPSK,nonideal,0.498740625
0.0,resnet50,2x2,BPSK,nonideal,0.49940625
0.0,resnet50,2x2,QPSK,nonideal,0.50020625
0.0,resnet50,3x1,BPSK,nonideal,0.50063125
0.0,resnet50,3x1,QPSK,nonideal,0.500153125
0.0,resnet50,4x1,BPSK,nonideal,0.500371875
0.0,resnet50,4x1,QPSK,nonideal,0.4997875
0.0,resnet50,4x2,BPSK,nonideal,0.50050625
0.0,resnet50,4x2,QPSK,nonideal,0.49806875
0.0,resnet50,4x4,BPSK,nonideal,0.49963125
0.0,resnet50,4x4,QPSK,nonideal,0.5008375
0.0,vgg,2x1,BPSK,nonideal,0.499428125
0.0,vgg,2x1,QPSK,nonideal,0.4983125
0.0,vgg,2x2,BPSK,nonideal,0.498728125
0.0,vgg,2x2,QPSK,nonideal,0.499528125
0.0,vgg,3x1,BPSK,nonideal,0.498859375
0.0,vgg,3x1,QPSK,nonideal,0.499665625
0.0,vgg,4x1,BPSK,nonideal,0.499796875
0.0,vgg,4x1,QPSK,nonideal,0.499125
0.0,vgg,4x2,BPSK,nonideal,0.499140625
0.0,vgg,4x2,QPSK,nonideal,0.500803125
0.0,vgg,4x4,BPSK,nonideal,0.500184375
0.0,vgg,4x4,QPSK,nonideal,0.49906875
2.0,densenet,2x1,BPSK,nonideal,0.499303125
2.0,densenet,2x1,QPSK,nonideal,0.500828125
