Model,Config,SNR_0dB,SNR_2dB,SNR_4dB,SNR_6dB,SNR_8dB
densenet,2x1,0.50175,0.499303125,0.499065625,0.501175,0.50075625
mobilenetv2,2x1,0.49930625,0.499340625,0.50034375,0.49919375,0.498434375
resnet50,2x1,0.500703125,0.498928125,0.4990625,0.500284375,0.50050625
vgg,2x1,0.499428125,0.498540625,0.501365625,0.5012875,0.500309375
densenet,2x2,0.49979375,0.4998125,0.500375,0.500434375,0.49985625
mobilenetv2,2x2,0.5014125,0.499609375,0.500190625,0.499478125,0.500528125
resnet50,2x2,0.49940625,0.500621875,0.498990625,0.49870625,0.498925
vgg,2x2,0.498728125,0.501328125,0.502015625,0.500775,0.5007375
densenet,3x1,0.500509375,0.500496875,0.498940625,0.499771875,0.5008625
mobilenetv2,3x1,0.50051875,0.50033125,0.49983125,0.49974375,0.50075625
resnet50,3x1,0.50063125,0.49964375,0.498771875,0.499615625,0.50055625
vgg,3x1,0.498859375,0.5007875,0.500896875,0.5003125,0.4994625
densenet,4x1,0.500109375,0.499621875,0.49968125,0.50125625,0.500375
mobilenetv2,4x1,0.499940625,0.5001125,0.500140625,0.500184375,0.499015625
resnet50,4x1,0.500371875,0.49910625,0.5003625,0.49925,0.499259375
vgg,4x1,0.499796875,0.49973125,0.498003125,0.499353125,0.500540625
densenet,4x2,0.4996125,0.500096875,0.499759375,0.500603125,0.501190625
mobilenetv2,4x2,0.498671875,0.500725,0.500053125,0.499525,0.4999125
resnet50,4x2,0.50050625,0.50008125,0.50144375,0.501434375,0.498378125
vgg,4x2,0.499140625,0.499996875,0.499434375,0.499959375,0.501375
densenet,4x4,0.500796875,0.499859375,0.49996875,0.4994375,0.50024375
mobilenetv2,4x4,0.49998125,0.4996375,0.499165625,0.500809375,0.500121875
resnet50,4x4,0.49963125,0.49913125,0.4993875,0.500996875,0.49875
vgg,4x4,0.500184375,0.500303125,0.499875,0.50085,0.5005125
